Time,Test
21.429624867817072,A
18.125022980698446,A
19.90126956949041,A
19.17778919066463,A
20.259136720204225,A
20.000075918260293,A
21.830932897072792,A
19.60658717331741,A
19.209479701901145,A
20.36532032067862,A
17.47000414145666,A
20.493858624259467,A
21.591080305996307,A
19.4078334758821,A
19.726515469310964,A
19.676252535493717,A
20.77856750454137,A
19.02309197034446,A
20.426442896140692,A
19.7942289828122,A
19.76841816799918,A
19.961992854884826,A
20.582226008307515,A
20.56369743884524,A
20.71928787007881,A
20.995676787803227,A
19.899558853444965,A
20.389258805251067,A
19.473708845829584,A
18.757013863391514,A
17.91649037047331,A
20.150565237704807,A
18.988040793220097,A
18.909631502046956,A
18.10987950110208,A
19.040031373042655,A
22.274848112129607,A
19.84449742105284,A
20.77066169010785,A
19.795541840750168,A
20.38164721696687,A
22.266268084270845,A
19.558169811374512,A
21.54677431641888,A
20.774070678621285,A
20.928648262781564,A
22.391766584625728,A
18.87863606545611,A
19.969188266054793,A
20.70131904257942,A
20.024296281867528,A
19.926840701516248,A
18.88972481987973,A
17.590423038415803,A
20.305090326483484,A
21.65601576700752,A
18.465377385788898,A
22.416854988925884,A
17.85514359423337,A
20.025038733889083,A
17.78842106213212,A
18.172421029387994,A
19.001122978768,A
18.521418719276877,A
18.629100446725293,A
20.51380892141092,A
16.806021171104867,A
20.241732462004865,A
20.057572379886917,A
22.035870184423736,A
19.59628643583752,A
18.36017303926595,A
19.663485769374287,A
18.533547318158266,A
21.85417122467666,A
20.365892175026847,A
20.056587095015473,A
18.35377415102174,A
20.635891939385193,A
20.521672757837123,A
20.02016218567368,A
19.72735586989989,A
19.52739789554263,A
20.028298926592363,A
21.472075514971497,A
19.60431795067941,A
20.38820868498479,A
20.227373531763604,A
19.478475335167776,A
20.164762690467153,A
22.404119626632475,A
19.69795048388976,A
20.354631279301074,A
21.203192267896288,A
19.64120354980516,A
19.913190208728224,A
20.569330732293544,A
19.91280032497878,A
19.17813146943252,A
19.22820217664387,A
21.76591877916629,A
20.1646287517883,A
20.45829567773481,A
19.272896287136952,A
19.332140734949398,A
20.305384919063883,A
18.867751332327014,A
18.66945289509969,A
20.199212328194243,A
21.686162858237672,A
20.23332291947039,A
20.215147076278495,A
20.208320538836006,A
19.830046995250047,A
20.393999774196864,A
19.83635990122405,A
20.954163071558252,A
18.736426003851566,A
19.549472496231523,A
21.106973330219947,A
20.521419766858582,A
17.899812681029427,A
18.703044552945176,A
17.252700159237072,A
21.40172289239747,A
21.25784076459086,A
18.619480053639865,A
18.762295082734532,A
19.244623583580953,A
17.78867888676755,A
19.594265880220725,A
19.11871581254645,A
19.158073193507942,A
20.585905673780314,A
21.006908977246013,A
21.406374572547595,A
19.916255790113063,A
21.879912952110068,A
19.73769193474441,A
20.256454972512756,A
19.22708364424506,A
21.596695749552026,A
20.291080886314564,A
18.896118809666966,A
18.9727869839162,A
20.298770958178025,A
19.552386751820265,A
21.05012254924766,A
22.190725567627716,A
19.96215134419251,A
19.198281347741,A
20.63161676865894,A
19.386096926374922,A
20.120032548900888,A
20.211403113301234,A
19.991718696498506,A
19.39696882130706,A
19.394326821453475,A
19.844599824528537,A
19.748735182718068,A
20.778675275837198,A
21.760200790207016,A
19.334457655362453,A
20.27225409647085,A
18.370249164905864,A
19.863139083658364,A
19.548602739932985,A
19.50987747804094,A
20.085955822584395,A
20.962608215840163,A
18.11907930258969,A
17.770697776220754,A
20.587603856944998,A
21.975759852755356,A
20.72735188633494,A
19.685391937721754,A
19.788103309502944,A
19.916916840321527,A
20.75400208871274,A
19.20407915559378,A
19.373550704129528,A
20.102782254019104,A
20.865578576286875,A
20.733330368272313,A
19.219028564973378,A
20.009602654675923,A
22.054249533699323,A
19.88373591603117,A
19.64464684602996,A
22.231128518113163,A
21.154997519665415,A
20.111542534653783,A
19.137730989372187,A
20.9506806141021,A
19.639722751353347,A
20.11576057774726,A
20.191515165095428,A
17.249944501260547,A
17.682989681293726,A
20.729505795547798,A
19.478626849934315,A
19.551578318502237,A
20.021481792859515,A
19.005442480651777,A
20.666480693083738,A
18.438628353286333,A
21.05291710959323,A
20.1445054800203,A
19.47293751015395,A
19.01151054633028,A
19.49070825573567,A
18.273032939535533,A
19.222706439035903,A
18.873079255034057,A
20.850273272089286,A
20.07538975048916,A
19.054661995987114,A
20.025480605311156,A
22.130284324204,A
20.671575469272618,A
19.88022662598508,A
20.124599826779303,A
20.0361879790783,A
20.270769865497716,A
20.886249479565077,A
18.83358518844299,A
20.119199980984032,A
22.04925662834026,A
20.71908633736459,A
20.255962653435247,A
